frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1,[-0.33 208.67 81.67 317.00],,,,
1,4,[1033.00 587.67 1243.67 717.33],,,,
2,1,[-1.25 210.00 76.25 316.00],,,,
2,4,[1033.50 586.75 1245.25 717.25],,,,
3,1,[-2.20 212.80 69.60 316.00],,,,
3,4,[1034.80 586.40 1246.80 717.20],,,,
4,1,[-2.75 214.00 66.00 315.75],,,,
4,4,[1037.60 585.20 1251.20 717.20],,,,
5,1,[-3.67 216.00 60.00 315.33],,,,
5,4,[1044.00 585.00 1257.60 717.20],,,,
6,4,[1052.80 584.00 1265.60 716.80],,,,
7,4,[1062.60 582.40 1273.00 715.80],,,,
8,4,[1072.80 579.40 1280.00 714.40],,,,
8,5,[824.00 179.67 1273.67 548.67],"[1137.4961853027344, 211.34579849243164, 1273.1205444335938, 279.2228317260742]",0.5791134834289551,BMRCL,0.9936507940292358
9,4,[1082.00 575.60 1284.80 712.60],,,,
9,5,[830.25 180.75 1273.75 542.75],,,,
9,7,[2.00 210.00 96.33 323.00],,,,
10,4,[1090.00 571.60 1287.20 711.00],,,,
10,5,[830.25 180.75 1273.75 542.75],,,,
10,7,[1.75 210.00 97.00 323.25],,,,
11,4,[1096.20 568.80 1287.60 710.20],,,,
11,5,[836.67 181.67 1273.00 533.00],,,,
11,7,[1.40 210.60 96.80 323.80],,,,
12,4,[1102.20 567.80 1287.60 710.40],,,,
12,7,[0.60 211.80 96.20 324.80],,,,
13,3,[558.67 352.00 679.67 528.00],"[566.1084270477295, 374.2008972167969, 601.9971809387207, 404.1199188232422]",0.7082880139350891,IN,0.5045406222343445
13,4,[1106.80 568.80 1286.80 711.60],,,,
13,7,[-0.40 214.60 93.20 326.00],,,,
14,4,[1110.80 572.00 1285.60 713.60],,,,
14,7,[-1.60 219.80 87.80 328.20],,,,
15,4,[1112.80 576.80 1284.00 715.80],,,,
15,7,[-3.20 227.60 79.20 331.00],,,,
15,10,[563.00 618.00 868.00 715.00],,,,
16,4,[1113.20 583.20 1282.20 718.00],,,,
16,7,[-4.00 231.25 75.00 332.25],,,,
17,4,[1111.20 590.40 1280.00 719.60],,,,
17,7,[-5.00 236.33 69.67 334.00],,,,
18,4,[1108.00 598.00 1277.80 720.60],,,,
19,4,[1102.60 604.80 1275.00 720.80],,,,
20,4,[1087.20 609.40 1266.40 720.40],,,,
21,4,[1071.60 611.80 1256.80 719.60],,,,
24,14,[631.00 266.33 662.00 297.33],,,,
25,14,[630.50 267.00 662.25 298.25],,,,
25,15,[644.00 259.67 756.67 362.67],,,,
26,14,[630.20 267.80 663.00 299.40],,,,
26,15,[644.50 260.75 757.25 363.75],,,,
27,14,[629.80 269.60 663.80 301.80],,,,
27,15,[645.00 261.80 758.20 365.00],,,,
27,17,[402.67 256.67 461.00 300.00],,,,
28,4,[1058.60 612.00 1251.80 718.80],,,,
28,14,[629.60 271.20 665.60 304.40],,,,
28,15,[646.00 263.80 759.60 367.20],,,,
28,17,[401.25 257.50 459.50 300.50],,,,
29,4,[1046.60 611.00 1249.40 717.80],,,,
29,14,[629.40 273.00 667.40 307.20],,,,
29,15,[647.60 265.60 761.40 369.20],,,,
29,17,[399.80 258.40 458.00 301.20],,,,
30,4,[1036.20 610.00 1249.00 717.20],,,,
30,14,[629.40 274.60 669.20 310.00],,,,
30,15,[649.60 267.40 763.80 371.20],,,,
30,17,[397.40 260.00 455.00 302.20],,,,
31,4,[1033.80 610.60 1250.20 717.40],,,,
31,14,[629.40 275.80 670.80 312.40],,,,
31,15,[651.60 268.80 766.20 372.80],,,,
31,17,[395.20 261.60 451.80 303.20],,,,
31,20,[469.00 265.00 506.00 299.00],,,,
32,4,[1034.00 611.40 1256.20 717.40],,,,
32,14,[629.60 276.40 672.80 314.00],,,,
32,15,[654.00 269.80 768.80 373.80],,,,
