frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,4,"[742, 163, 1276, 537]","[979.3942718505859, 225.5445785522461, 1070.3950500488281, 278.8413391113281]",0.538540244102478,AFONS,0.7425503134727478
1,3,"[607, 246, 716, 347]",,,,
1,2,"[473, 313, 585, 475]",,,,
1,1,"[0, 205, 84, 315]",,,,
2,4,"[757, 181, 1285, 569]",,,,
2,3,"[611, 246, 720, 348]",,,,
2,2,"[478, 310, 591, 472]",,,,
2,1,"[0, 207, 81, 315]",,,,
3,5,"[31, 182, 238, 269]",,,,
3,4,"[743, 192, 1282, 596]",,,,
3,3,"[617, 246, 726, 348]",,,,
3,2,"[481, 310, 593, 471]","[492.7545356750488, 397.5055160522461, 532.5073623657227, 429.9625244140625]",0.7570817470550537,133,0.5181450843811035
3,1,"[-1, 210, 74, 314]",,,,
4,4,"[752, 199, 1287, 610]",,,,
4,3,"[624, 245, 733, 347]",,,,
4,2,"[482, 311, 595, 471]",,,,
4,1,"[-3, 215, 59, 312]",,,,
5,4,"[761, 207, 1291, 631]","[1008.6093444824219, 219.51109218597412, 1102.5503845214844, 281.26818084716797]",0.6951093077659607,BMRCL,0.917550265789032
5,3,"[631, 244, 740, 347]",,,,
5,2,"[486, 307, 602, 468]",,,,
5,1,"[-6, 224, 42, 313]",,,,
6,4,"[774, 194, 1284, 602]",,,,
6,3,"[640, 243, 750, 348]",,,,
6,2,"[498, 306, 612, 466]",,,,
7,3,"[650, 241, 761, 346]",,,,
7,2,"[505, 299, 620, 461]",,,,
8,3,"[661, 239, 771, 345]",,,,
8,2,"[514, 293, 633, 458]",,,,
9,3,"[672, 236, 781, 342]",,,,
9,2,"[527, 290, 644, 455]",,,,
10,10,"[685, 234, 792, 339]",,,,
10,3,"[683, 235, 792, 340]",,,,
10,2,"[541, 287, 657, 451]",,,,
11,13,"[0, 210, 100, 324]",,,,
11,3,"[692, 233, 801, 339]",,,,
11,2,"[548, 285, 663, 448]",,,,
12,13,"[0, 211, 100, 323]",,,,
12,7,"[642, 214, 694, 281]",,,,
12,5,"[66, 155, 319, 267]",,,,
12,3,"[700, 232, 810, 338]",,,,
12,2,"[552, 286, 668, 447]",,,,
13,13,"[0, 214, 96, 325]",,,,
13,5,"[57, 157, 304, 268]",,,,
13,4,"[852, 189, 1281, 531]","[977.3609924316406, 220.1195068359375, 1023.0789794921875, 260.110595703125]",0.11733833700418472,BMRCL,0.8698331117630005
13,3,"[705, 232, 815, 337]",,,,
13,2,"[554, 281, 673, 444]",,,,
14,13,"[-1, 217, 90, 326]",,,,
14,10,"[706, 233, 816, 339]",,,,
14,5,"[46, 156, 290, 270]",,,,
14,4,"[858, 182, 1278, 509]",,,,
14,2,"[555, 280, 675, 444]",,,,
15,14,"[694, 246, 721, 274]",,,,
15,13,"[-3, 226, 80, 329]",,,,
15,10,"[702, 234, 814, 341]",,,,
15,5,"[32, 157, 273, 272]",,,,
15,4,"[860, 186, 1276, 508]",,,,
15,2,"[554, 286, 670, 446]",,,,
16,14,"[693, 248, 717, 275]",,,,
16,13,"[-5, 239, 67, 333]",,,,
16,10,"[698, 237, 809, 344]",,,,
16,5,"[26, 162, 284, 278]",,,,
16,2,"[552, 295, 662, 450]",,,,
17,13,"[-6, 253, 53, 336]",,,,
17,10,"[692, 239, 803, 346]",,,,
17,2,"[547, 291, 656, 448]",,,,
18,10,"[685, 243, 796, 350]",,,,
18,2,"[540, 293, 649, 450]",,,,
19,10,"[677, 246, 788, 353]",,,,
19,2,"[527, 293, 639, 452]",,,,
20,10,"[669, 248, 780, 355]",,,,
20,2,"[513, 302, 622, 457]",,,,
21,10,"[661, 251, 772, 356]",,,,
21,2,"[506, 301, 618, 457]",,,,
22,22,"[641, 262, 672, 295]",,,,
22,10,"[655, 252, 766, 357]",,,,
22,3,"[656, 252, 767, 357]",,,,
22,2,"[501, 300, 613, 457]",,,,
23,22,"[637, 264, 668, 296]",,,,
23,10,"[650, 253, 762, 358]",,,,
23,3,"[651, 253, 763, 358]",,,,
23,2,"[495, 300, 609, 458]",,,,
24,26,"[429, 254, 467, 290]",,,,
24,22,"[633, 264, 665, 297]",,,,
24,10,"[647, 254, 758, 359]",,,,
24,2,"[491, 299, 605, 458]",,,,
25,26,"[418, 255, 461, 291]",,,,
25,22,"[630, 266, 662, 298]",,,,
25,10,"[645, 256, 756, 361]",,,,
25,2,"[490, 302, 602, 460]",,,,
26,26,"[412, 256, 462, 294]",,,,
26,22,"[628, 268, 661, 302]",,,,
26,10,"[644, 257, 756, 363]",,,,
26,2,"[488, 307, 601, 463]",,,,
27,26,"[407, 255, 462, 296]",,,,
27,22,"[628, 269, 662, 304]",,,,
27,10,"[644, 260, 757, 365]",,,,
27,2,"[489, 308, 601, 464]",,,,
28,26,"[404, 258, 461, 299]",,,,
28,22,"[628, 271, 663, 307]",,,,
28,2,"[490, 309, 602, 466]",,,,
29,26,"[401, 262, 458, 301]",,,,
29,22,"[628, 273, 665, 310]",,,,
29,3,"[648, 264, 761, 370]",,,,
29,2,"[493, 310, 604, 468]",,,,
30,26,"[398, 264, 454, 303]",,,,
30,22,"[629, 275, 667, 312]",,,,
30,3,"[649, 266, 763, 371]",,,,
30,2,"[499, 312, 607, 469]",,,,
31,29,"[905, 205, 1280, 554]","[1057.3883819580078, 239.93233108520508, 1141.474136352539, 289.1418991088867]",0.12515076994895935,IROS,0.5893241167068481
31,26,"[396, 266, 452, 305]",,,,
31,22,"[629, 276, 669, 315]",,,,
31,3,"[651, 267, 765, 373]",,,,
31,2,"[504, 314, 610, 470]",,,,
32,29,"[917, 217, 1286, 581]",,,,
32,26,"[394, 266, 448, 305]",,,,
32,22,"[629, 277, 671, 316]",,,,
32,3,"[653, 268, 767, 374]",,,,
32,2,"[505, 314, 611, 471]",,,,
33,33,"[498, 300, 528, 344]",,,,
33,26,"[393, 265, 446, 306]",,,,
33,22,"[629, 277, 673, 316]",,,,
33,3,"[656, 269, 770, 375]",,,,
33,2,"[507, 314, 612, 471]",,,,
34,33,"[499, 300, 530, 345]",,,,
34,26,"[391, 265, 442, 306]",,,,
34,22,"[631, 277, 675, 316]",,,,
34,3,"[659, 269, 773, 376]",,,,
34,2,"[507, 314, 613, 471]",,,,
35,26,"[390, 265, 440, 306]",,,,
35,22,"[632, 277, 677, 316]",,,,
35,3,"[661, 268, 776, 375]",,,,
35,2,"[509, 315, 616, 471]",,,,
36,26,"[388, 265, 436, 306]",,,,
36,22,"[632, 276, 679, 317]",,,,
36,3,"[664, 268, 780, 375]",,,,
36,2,"[514, 322, 618, 473]",,,,
37,22,"[634, 277, 681, 317]",,,,
37,3,"[667, 268, 783, 375]",,,,
37,2,"[520, 319, 623, 470]",,,,
38,33,"[502, 297, 539, 346]",,,,
38,22,"[636, 276, 683, 317]",,,,
38,3,"[670, 268, 786, 376]",,,,
38,2,"[525, 319, 629, 470]",,,,
