epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.349,1.27985,1.61734,1.21164,0.96134,0.90547,0.93588,0.59607,1.27601,0.76849,1.13616,0.000665803,0.000665803,0.000665803
2,254.493,1.26398,0.78261,1.191,0.97197,0.90163,0.94346,0.52603,1.55418,0.75171,1.25362,0.00120056,0.00120056,0.00120056
3,369.38,1.21707,0.68009,1.15842,0.9717,0.91033,0.95084,0.5881,1.35694,0.68363,1.16827,0.00160331,0.00160331,0.00160331
4,482.759,1.19315,0.62865,1.14553,0.97364,0.9235,0.96495,0.63552,1.23347,0.60243,1.1031,0.001406,0.001406,0.001406
5,612.046,1.17412,0.58897,1.13321,0.96943,0.93052,0.96633,0.63532,1.2223,0.56379,1.0938,0.001208,0.001208,0.001208
6,742.749,1.15208,0.55766,1.11814,0.98178,0.93043,0.96561,0.59482,1.30544,0.59779,1.11708,0.00101,0.00101,0.00101
7,884.234,1.13299,0.53078,1.09957,0.98498,0.94402,0.97311,0.6393,1.24725,0.53284,1.09753,0.000812,0.000812,0.000812
8,1004.84,1.12219,0.49907,1.09976,0.98081,0.94674,0.9759,0.64901,1.20627,0.48721,1.0715,0.000614,0.000614,0.000614
9,1131.42,1.09387,0.47111,1.08036,0.97856,0.9427,0.97588,0.65361,1.22641,0.48652,1.07277,0.000416,0.000416,0.000416
10,1246.48,1.07446,0.45189,1.07241,0.98483,0.9526,0.98107,0.66876,1.16722,0.4562,1.05539,0.000218,0.000218,0.000218
